stage,trial,metric_scope,prediction_horizon_min,test_rows,target_mean,mae,relative_mae,r2,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
stage1,9,validation,20.0,10014,0.24464012772246985,0.022752023626329707,0.09300201008781588,0.9537155318786752,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,30.0,10182,0.24292622524049884,0.02708942249519342,0.11151296023463371,0.9393505813623843,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,45.0,10105,0.24047493207258544,0.031446367189928055,0.1307677557860219,0.9236316074534917,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,60.0,10084,0.24538690556167989,0.037304819683797154,0.15202449209100238,0.9062120256821276,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,90.0,9989,0.23830317805463633,0.04532288444528391,0.19019001263546986,0.8811509821114911,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,9,validation,120.0,9948,0.24625713515464295,0.05144577293905313,0.20891079118071665,0.8707456785434469,1200,4,0.04,0.7,0.85,10,0.01,1.0
stage1,10,validation,5.0,10033,0.24673761397355856,0.015576597118411216,0.06313020891934405,0.9700278847262824,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,10.0,10226,0.24492056776600468,0.019988723462949262,0.08161308641929306,0.9476910964225786,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,15.0,10050,0.24787172644001382,0.02064847216524948,0.08330305542228315,0.9550743617059019,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,20.0,10014,0.24464012772246985,0.021791584039588356,0.08907608184504243,0.9532652995969808,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,30.0,10182,0.24292622524049884,0.02619330537862681,0.10782411554246658,0.9388248305013828,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,45.0,10105,0.24047493207258544,0.0310415251649114,0.12908424548610234,0.9237841588738752,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,60.0,10084,0.24538690556167989,0.03689959261422431,0.15037311192201866,0.9067964363157645,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,90.0,9989,0.23830317805463633,0.04479489301595709,0.18797438364706517,0.8820955663500245,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,10,validation,120.0,9948,0.24625713515464295,0.05152652572969402,0.20923871179341352,0.8715851172984721,1200,6,0.04,0.7,1.0,1,0.0,1.0
stage1,11,validation,5.0,10033,0.24673761397355856,0.01724713067515038,0.06990069490174552,0.9708128535349594,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,10.0,10226,0.24492056776600468,0.02178150922671785,0.08893295252984937,0.9493659431094285,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,15.0,10050,0.24787172644001382,0.022416300832099934,0.09043508573586666,0.9571457529025675,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,20.0,10014,0.24464012772246985,0.023274706990246974,0.09513854986476622,0.9534197023509151,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,30.0,10182,0.24292622524049884,0.02725728317787545,0.11220395472284037,0.9401352544037457,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,45.0,10105,0.24047493207258544,0.03160570214489736,0.131430340254166,0.9227724371204645,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,60.0,10084,0.24538690556167989,0.03753939196966496,0.15298042038444934,0.9060664151505691,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,90.0,9989,0.23830317805463633,0.044873373289555936,0.18830371317695022,0.8829031032462991,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,11,validation,120.0,9948,0.24625713515464295,0.05084812449486884,0.20648386274345945,0.869795097985554,500,4,0.04,0.85,1.0,1,0.1,5.0
stage1,12,validation,5.0,10033,0.24673761397355856,0.017372011000510706,0.07040682091694525,0.9713906837007884,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,10.0,10226,0.24492056776600468,0.021746859322366044,0.08879147848106753,0.9496675579208456,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,15.0,10050,0.24787172644001382,0.022416810741992917,0.09043714288817001,0.9563547669594135,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,20.0,10014,0.24464012772246985,0.023135568632794253,0.0945698027882009,0.9540204650056061,300,4,0.08,0.7,0.85,10,0.01,5.0
stage1,12,validation,30.0,10182,0.24292622524049884,0.02729608874299475,0.1123636969041585,0.9402666639769778,300,4,0.08,0.7,0.85,10,0.01,5.0
